통신사,AP 설치장소명(국문),서비스 분류,광역시도(국문),시군구(국문),지번주소(국문),도로명주소(국문),위도,경도
KT,고성군 보건소,서민/복지시설,강원도,고성군,간성읍 신안리 178,수성로 30,38.3774696,128.4721184
KT,고성군립간성도서관,지역문화시설,강원도,고성군,간성읍 상리 191,쇠롱골길 17,38.3809637,128.4658354
KT,고성군장애인보호작업장,서민/복지시설,강원도,고성군,죽왕면 가진리 299-19,동해대로 6520,38.378929,128.500933
KT,고성군청(강원),관공서,강원도,고성군,간성읍 하리 12,간성읍 고성중앙길 9,38.3806311,128.4678928
KT,토성 도서관,지역문화시설,강원도,고성군,토성면 천진리 145-1,토성로 167-6,38.2588354,128.5564396
KT,고래화석박물관,지역문화시설,강원도,동해시,망상동 360-5,동해대로 6271,37.5910747,129.0897453
KT,근로복지회관(동해),서민/복지시설,강원도,동해시,천곡동 1005-12,동굴로 2,37.5150562,129.105179
KT,동해시청,관공서,강원도,동해시,천곡동 806,천곡로 77,37.5247499,129.1145654
KT,동해우체국,관공서,강원도,동해시,천곡동 844-0,천곡로 92 ,37.5233728,129.1155894
KT,천곡동굴(고객휴게실),관광/편의시설,강원도,동해시,천곡동 1003,동굴로 50,37.517351,129.110044
KT,천곡동굴(기념품 판매점),관광/편의시설,강원도,동해시,천곡동 1003,동굴로 50,37.517351,129.110044
KT,천곡동굴(안내실),관광/편의시설,강원도,동해시,천곡동 1003,동굴로 50,37.517351,129.110044
KT,광산근로자복지센터,서민/복지시설,강원도,삼척시,도계읍 도계리 287-5,도계읍 도계느티로 25-18,37.23240253,129.0496714
KT,교동 주민센터,관공서,강원도,삼척시,교동 657-1,대학로 88-14,37.44794258,129.1646305
KT,근덕면사무소,관공서,강원도,삼척시,근덕면 교가리 661-1,근덕면 삼척로 3639,37.3792457,129.2257901
KT,남양동사무소,관공서,강원도,삼척시,남양동 331-9,남양길 11,37.4425272,129.1684733
KT,도계읍사무소,관공서,강원도,삼척시,도계읍 도계리 369-5,도계읍 도계로 308,37.2361716,129.0450665
KT,도계청소년장학센터,서민/복지시설,강원도,삼척시,도계읍 전두리 49-5,도계읍 도계로 254,37.2320805,129.0449588
KT,미로면사무소,관공서,강원도,삼척시,미로면 하거노리 215-1,미로면 적병길 8,37.4175501,129.1127492
KT,삼척시 노인복지관,서민/복지시설,강원도,삼척시,남양동 6-1,봉황로 91-45,37.44556826,129.1714858
KT,삼척시 보건소,서민/복지시설,강원도,삼척시,남양동 347-4,척주로 76,37.4439236,129.1722004
KT,삼척시 종합사회복지관,서민/복지시설,강원도,삼척시,원당동 62,원당로2길 72-6,37.43743977,129.1525423
KT,삼척시청,관공서,강원도,삼척시,교동 592,중앙로 296,37.4497219,129.1653346
KT,삼척시청,관공서,강원도,삼척시,교동 592,중앙로 296,37.44982367,129.1652135
KT,삼척시청소년수련관,서민/복지시설,강원도,삼척시,성남동 174-1,엑스포로 50-1 (성남동),37.438965,129.157517
KT,삼척시평생학습관,지역문화시설,강원도,삼척시,교동 736,청석로3길 16-41 (교동),37.4490782,129.1778038
KT,삼척우체국,관공서,강원도,삼척시,남양동 33-10,진주로 36 ,37.4436567,129.164297
KT,삼척중앙시장,서민/복지시설,강원도,삼척시,남양동 55-4,진주로 12-21,37.4421157,129.1652459
KT,성내동 주민센터,관공서,강원도,삼척시,당저동 133-2,대학로 57,37.44615192,129.1628479
KT,신기면사무소,관공서,강원도,삼척시,신기면 신기리 271,신기면 신기길 15,37.34952811,129.0830812
KT,원덕읍사무소,관공서,강원도,삼척시,원덕읍 호산리 240,원덕읍 삼척로 440,37.1764465,129.3357895
KT,원덕청소년문화의 집,서민/복지시설,강원도,삼척시,원덕읍 호산리 242,원덕읍 삼척로 446-13,37.17698197,129.3349283
KT,유기농교육연구관,서민/복지시설,강원도,삼척시,원덕읍 산양리 1001,원덕읍 산양서원2길 46,37.14345661,129.2866696
KT,정라동 주민센터,관공서,강원도,삼척시,정라동 79,새천년도로 16,37.43605524,129.1845867
KT,하장면사무소,관공서,강원도,삼척시,하장면 광동리 172-3,하장면 하장길 118,37.3493543,128.9427976
KT,금호동주민센터,관공서,강원도,속초시,중앙동 496-25,중앙시장로 43 (중앙동),38.2068759,128.5882478
KT,동명동주민센터,관공서,강원도,속초시,동명동 89-2,중앙로 257 (동명동),38.2126537,128.5957703
KT,설악산국립공원탐방안내소,관광/편의시설,강원도,속초시,설악동 산16,NULL,38.1669375,128.5162109
KT,속초고용지원센터,관공서,강원도,속초시,조양동 633-1,동해대로 4178,38.19251,128.578842
KT,속초관광수산시장,서민/복지시설,강원도,속초시,중앙동 471-4,중앙로 147번길 16 (중앙동),38.2044718,128.590225
KT,속초도서관,지역문화시설,강원도,속초시,교동 636-69,번영로 15,38.2026647,128.5804947
KT,속초시청,관공서,강원도,속초시,중앙동 469-6,중앙로 183,38.206823,128.5919555
KT,속초시청 종합민원실,관공서,강원도,속초시,동명동 465-4,중앙로 183 (중앙동),38.207048,128.591822
KT,속초해양경찰서,관공서,강원도,속초시,동명동 53,영금정로 11-1,38.2129858,128.59779
KT,영랑동주민센터,관공서,강원도,속초시,장사동 634-4,중앙로 403 (장사동),38.2236303,128.5882673
KT,방산 자기박물관(본관 전시실),지역문화시설,강원도,양구군,방산면 장평리 344,방산면 평화로 5182,38.207367,127.951534
KT,방산 자기박물관(체험관),지역문화시설,강원도,양구군,방산면 장평리 344,방산면 평화로 5182,38.207353,127.951526
KT,양구 문화체육회관,지역문화시설,강원도,양구군,양구읍 상리 505,양구읍 양록길23번길,38.1083348,127.9845342
KT,양구문화복지센터,지역문화시설,강원도,양구군,양구읍 상리 394-14,양구읍 비봉로73번길,38.1088744,127.9842625
KT,양구시외버스터미널,교통시설,강원도,양구군,양구읍 상리 327-2,양구읍 중심로 196,38.1077584,127.989419
KT,양구우체국,관공서,강원도,양구군,양구읍 중리 3-1,관공서로 26 ,38.1083648,127.9905081
KT,강현면사무소 주민센터,관공서,강원도,양양군,강현면 정암리 450-4,강현면 동해대로 3509,38.1499628,128.607657
KT,낙산노인요양원,서민/복지시설,강원도,양양군,강현면 금풍리 75-1,강현면 고래골길 109,38.1049532,128.6017806
KT,서면사무소 주민센터,관공서,강원도,양양군,서면 상평리 35-7,서면 물윗구미길 3,38.0711654,128.5851307
KT,양양군농업기술센터,관공서,강원도,양양군,손양면 송현리 278,손양면 동해대로 2558,38.0754039,128.6337585
KT,양양군오색약수,관광/편의시설,강원도,양양군,서면 오색리 481-1,서면 대청봉길 95,38.0775961,128.4510038
KT,양양군청,관공서,강원도,양양군,양양읍 군행리 8,양양읍 군청길 1,38.0754566,128.6191292
KT,양양보건소,서민/복지시설,강원도,양양군,양양읍 연창리 203-5,양양로 9-5,38.077831,128.6274536
KT,현남면사무소 주민센터,관공서,강원도,양양군,현남면 인구리 19-1,현남면 인구중앙길 45,37.9690383,128.7596204
KT,김삿갓면사무소,관공서,강원도,영월군,김삿갓면 옥동리 266,김삿갓면 옥동장터길 36,37.1255927,128.5700067
KT,남면사무소,관공서,강원도,영월군,남면 연당리 1036,남면 연당로 47-6,37.1864758,128.4045603
KT,덕포보건지소,서민/복지시설,강원도,영월군,영월읍 덕포리 574-68,영월읍 중앙로 148,37.1793127,128.4767693
KT,동강사진박물관,지역문화시설,강원도,영월군,영월읍 하송리 217-2,영월읍 영월로 1909-10,37.182112,128.4613888
KT,북면사무소,관공서,강원도,영월군,북면 마차리 1180-15,북면 봉래산로 987,37.2545912,128.4552234
KT,상동읍사무소,관공서,강원도,영월군,상동읍 내덕리 33-1,상동읍 태백산로 3189,37.1270739,128.8270387
KT,수주면사무소,관공서,강원도,영월군,수주면 무릉리 903,수주면 무릉길 70-6,37.288348,128.268589
KT,숲속가족공원,관광/편의시설,강원도,영월군,영월읍 하송리 111-1,영월읍 제방안길106,37.177437,128.461418
KT,영월 보건소,서민/복지시설,강원도,영월군,영월읍 하송리 246,영월읍 하송로 44,37.1842462,128.463315
KT,영월 학생체육관,지역문화시설,강원도,영월군,영월읍 하송리 305,영월로 1894-6,37.1823665,128.4576854
KT,영월군청,관공서,강원도,영월군,영월읍 하송리 242,하송로 64,37.183766,128.46187
KT,영월의료원,서민/복지시설,강원도,영월군,영월읍 영흥리 1072,영월읍 중앙1로 59,37.1864886,128.465108
KT,영월의료원 본관,서민/복지시설,강원도,영월군,영월읍 영흥리 1072,영월읍 중앙1로 59,37.1864886,128.465108
KT,영월의료원 진폐병동,서민/복지시설,강원도,영월군,영월읍 영흥리 1072,영월읍 중앙1로 59,37.1864886,128.465108
KT,영월종합상가,서민/복지시설,강원도,영월군,영월읍 하송리 11-1,서부시장길 16-14,37.1826074,128.4672586
KT,주천면사무소,관공서,강원도,영월군,주천면 주천리 1243-1,주천면 주천로 103,37.2720263,128.2691561
KT,중동면사무소,관공서,강원도,영월군,중동면 녹전리 774-12,중동면 태백산로 1202,37.1451007,128.6803989
KT,한반도면사무소,관공서,강원도,영월군,한반도면 신천리 465,한반도면 신천길 6-6,37.2366853,128.3281439
KT,원주 보건소,서민/복지시설,강원도,원주시,일산동 211,일산진9길 17,37.3515535,127.9467817
KT,원주고용지원센터,관공서,강원도,원주시,개운동 451-4,서원대로 383,37.3320559,127.9484699
KT,원주문막시장,서민/복지시설,강원도,원주시,문막읍 문막리 240-1,문막시장1길 52-10,37.3060184,127.8154809
KT,원주시립도서관-1,지역문화시설,강원도,원주시,단계동 908-0,이화4길 90,37.3419293,127.9347253
KT,원주운전면허시험장,관공서,강원도,원주시,호저면 만종리 872-7,호저면 사제로 596,37.3386605,127.8982721
KT,고한사북공용버스터미널,교통시설,강원도,정선군,고한읍 고한리 273-12,고한읍 지장천로 856,37.21990909,128.8341217
KT,고한사북보건지소,서민/복지시설,강원도,정선군,고한읍 고한리 140-5,고한읍 물한리길 10,37.21086892,128.8363493
KT,고한읍사무소,관공서,강원도,정선군,고한읍 고한리 125-4,고한읍 고한2길 1,37.2086819,128.8431808
KT,구절보건진료소,서민/복지시설,강원도,정선군,여량면 구절리 244-1,여량면 노추산로 856,37.51897005,128.7375852
KT,남면보건지소,서민/복지시설,강원도,정선군,남면 문곡리 142-2,남면 자미원길 21,37.2669489,128.7424758
KT,남면사무소,관공서,강원도,정선군,남면 문곡리 103-1,남면 칠현로 80,37.2688398,128.7404938
KT,민둥산 전통시장,관광/편의시설,강원도,정선군,남면 무릉리 615-42,남면 도원2길 5,37.24512545,128.7744513
KT,북평면사무소,관공서,강원도,정선군,북평면 북평리 222-1,북평면 달량진길 8,37.44836365,128.6704427
KT,북평보건지소,서민/복지시설,강원도,정선군,북평면 북평리 222-1,북평면 북평6길 34,37.44836365,128.6704427
KT,사북시장,서민/복지시설,강원도,정선군,사북읍 사북리 366-122,사북중앙로 17-14,37.227338,128.81688
KT,사북읍사무소,관공서,강원도,정선군,사북읍 사북리 317-48,사북읍 사북중앙로 73,37.2277,128.821777
KT,사북청소년장학센터,서민/복지시설,강원도,정선군,사북리 344-4,사북6길 8,37.228577,128.819432
KT,신동보건지소,서민/복지시설,강원도,정선군,신동읍 예미리376-2,신동읍 의림로 313,37.23059678,128.6450782
KT,신동읍 함백출장소,관공서,강원도,정선군,신동읍 조동리 216-1,신동읍 새골길 30,37.21802985,128.6713646
KT,신동읍사무소,관공서,강원도,정선군,신동읍 예미리 759,신동읍 예미1길 1,37.2120689,128.642239
KT,아우라지지역 아동센터,서민/복지시설,강원도,정선군,여량면 여량리 261-1,여량면 여량3길 37,37.47198208,128.7218835
KT,여량면보건지소,서민/복지시설,강원도,정선군,여량면 여량리 305-3,여량면 서동로 2885,37.47064135,128.7206591
KT,여량면사무소,관공서,강원도,정선군,여량면 여량리 305-3,여량면 서동로 2885,37.4706715,128.7207276
KT,임계면사무소,관공서,강원도,정선군,임계면 송계리 773-1,임계면 서동로 4575,37.49469323,128.852075
KT,임계보건지소,서민/복지시설,강원도,정선군,임계면 송계리 695,임계면 송계8길 9,37.49673483,128.8514877
KT,임계전통시장,서민/복지시설,강원도,정선군,임계면 송계리 718-3,임계면 송계3길 12,37.4952504,128.8520933
KT,임계지역 아동센터,서민/복지시설,강원도,정선군,임계면 송계리 710-1,임계면 송계6길 33,37.49592893,128.8527839
KT,정선5일장 아리랑전시문화공연장,지역문화시설,강원도,정선군,정선읍 봉양리 349-20,정선읍 봉양7길 39,37.38039283,128.6652169
KT,정선5일장 여량시장,관광/편의시설,강원도,정선군,여량면 여량리 256-1,여량면 여량6길 10,37.47244246,128.7226853
KT,정선군 다문화가족지원센터,지역문화시설,강원도,정선군,정선읍 봉양리 114-5,정선읍 봉양7길 16,37.39341807,128.6439967
KT,정선군 보건소,서민/복지시설,강원도,정선군,정선읍 봉양리 80-5,정선읍 녹송로 33,37.3800354,128.6714437
KT,정선군 수화 통역센터,서민/복지시설,강원도,정선군,고한읍 고한리 432-202,고한읍 녹송2길 50,37.18846351,128.8673095
KT,정선군장애인보호작업시설,서민/복지시설,강원도,정선군,정선읍 애산리 432-309,녹송2길 50,37.3822605,128.6734374
KT,정선군장애인심부름 센터,서민/복지시설,강원도,정선군,고한읍 고한리 432-202,고한읍 녹송2길 50,37.18846351,128.8673095
KT,정선군청,관공서,강원도,정선군,정선읍 봉양리 267,정선읍 봉양3길 21,37.380306,128.6608247
KT,정선군청,관공서,강원도,정선군,정선읍 봉양리 267,정선읍 봉양3길 21,37.38071351,128.6606087
KT,정선군청 문화예술회관,지역문화시설,강원도,정선군,정선읍 봉양리 267,정선읍 봉양3길 21,37.38071351,128.6606087
KT,정선군청소년문화의집,서민/복지시설,강원도,정선군,정선읍 애산리 605-13,정선읍 애산로 25,37.37412714,128.6710117
KT,정선도서관,지역문화시설,강원도,정선군,정선읍 봉양리 153,정선읍 봉양4길 15,37.3781624,128.6617032
KT,정선시외버스터미널,교통시설,강원도,정선군,정선읍 북실리 757-3,정선읍 정선로 1226,37.37888954,128.6503492
KT,정선우체국,관공서,강원도,정선군,정선읍 봉양리 309-0,비봉로 25 ,37.381457,128.661048
KT,정선읍사무소,관공서,강원도,정선군,정선읍 봉양리 210-1,정선읍 정선로 1331,37.3796349,128.6616904
KT,정선전통시장,서민/복지시설,강원도,정선군,정선읍 봉양리 349-29,비봉로 64,37.380748,128.665412
KT,조동보건진료소,서민/복지시설,강원도,정선군,신동읍 조동리 216-1,신동읍 새골길 30,37.21802985,128.6713646
KT,증산보건진료소,서민/복지시설,강원도,정선군,남면 무릉리 615-2,남면 무릉3로 12,37.24496915,128.77406
KT,화암동굴,관광/편의시설,강원도,정선군,화암면 화암리,화암면 화암동굴길 12-2,37.350818,128.790319
KT,화암면보건지소,서민/복지시설,강원도,정선군,화암면 화암리 371-2,화암면 그림바위길 57,37.3389628,128.7887439
KT,화암면사무소,관공서,강원도,정선군,화암면 화암리 393-1,화암면 그림바위길 40,37.3402178,128.7879279
KT,흑빛지역 아동센터,서민/복지시설,강원도,정선군,고한읍 고한리 63-52,고한읍 고한10길 28-8,37.19953738,128.856784
KT,철원농협,관공서,강원도,철원군,철원읍 화지리 29-4,철원읍 금학로 281,38.21298,127.214504
KT,철원우체국,관공서,강원도,철원군,갈말읍 신철원리 682-6,동송읍 금학로 212,38.1458202,127.3106042
KT,강원도의회,관공서,강원도,춘천시,봉의동 15,중앙로 1,37.885773,127.730069
KT,강원지방경찰청,관공서,강원도,춘천시,동내면 거두리 665-3,동내면 세실로 49,37.8614277,127.7577658
KT,광치휴양림(관리사무소),관광/편의시설,강원도,춘천시,남면 가오작리 7,남면 광치령로 1794번길265,38.141033,128.071118
KT,광치휴양림(산림휴양관),관광/편의시설,강원도,춘천시,남면 가오작리 7,남면 광치령로 1794번길265,38.145503,128.071673
KT,광치휴양림(숲속의집),관광/편의시설,강원도,춘천시,남면 가오작리 7,남면 광치령로 1794번길265,38.14221,128.071133
KT,오항리청소년야영장,서민/복지시설,강원도,춘천시,북산면 오항리 495,북산면 장재골길 12-32,37.9959653,127.8780092
KT,춘천경찰서,관공서,강원도,춘천시,효자1동 590,춘천로 61,37.870188,127.723659
KT,춘천시 여성회관,서민/복지시설,강원도,춘천시,퇴계동 1020-2,퇴계농공로 40,37.8493829,127.7434354
KT,춘천시립도서관,지역문화시설,강원도,춘천시,삼천동 28-79,옛경춘로 830-24,37.8699654,127.7107644
KT,춘천시의회 본관,관공서,강원도,춘천시,교동 8016,교동 93-284,37.881129,127.736475
KT,춘천시청 차량등록사업소,관공서,강원도,춘천시,칠전동 578-3,칠전동길 49-6,37.8427784,127.7148641
KT,춘천운전면허시험장,관공서,강원도,춘천시,신북읍 산천리 344-3,신북읍 신북로 247,37.9470979,127.7501331
KT,춘천인형극장-박물관,지역문화시설,강원도,춘천시,사농동 277-3,영서로 3017,37.92136059,127.7202496
KT,퇴계동주민자치센터,관공서,강원도,춘천시,퇴계동 1178,퇴계로 46,37.8645076,127.7262162
KT,효자1동주민자치센터(춘천),관공서,강원도,춘천시,효자동 539-4,효자상길 9,37.8721574,127.727457
KT,용연동굴,관광/편의시설,강원도,태백시,화전동 산47-69,태백로 283-29,37.208618,128.946048
KT,태백소방서,관공서,강원도,태백시,황지동 212-0,태백로 1116,37.158805,128.989332
KT,태백우체국,관공서,강원도,태백시,황지동 27-0,태백로 1116,37.170584,128.992368
KT,태백운전면허시험장,관공서,강원도,태백시,화전동 48,수아밭길 166,37.181269,128.970342
KT,태백철암어린이도서관,지역문화시설,강원도,태백시,철암동 354-62,피내골길 23,37.118765,129.0399611
KT,농업기술센터 교육장,관공서,강원도,평창군,평창읍 여만리 357-6,평창읍 여만길 46,37.37804804,128.395304
KT,대관령면사무소,관공서,강원도,평창군,대관령면 횡계리 335-1,대관령면 대관령로 81,37.673541,128.7058005
KT,대관령보건지소,서민/복지시설,강원도,평창군,대관령면 횡계리 335-9,대관령면 대관령로 63,37.67410643,128.703972
KT,대화면사무소,관공서,강원도,평창군,대화면 대화리 410-5,대화면 남산1길 28,37.50095191,128.4579107
KT,대화보건지소,서민/복지시설,강원도,평창군,대화면 대화리 1172-1,대화면 남산1길 36,37.50146293,128.4576764
KT,대화시외버스터미널,교통시설,강원도,평창군,대화면 대화리 1012-7,대화면 대화3길 10,37.50024996,128.4528763
KT,대화전통시장,서민/복지시설,강원도,평창군,대화면 대화리 1001-29,대화면 대화3길 41,37.50071386,128.4547126
KT,미탄면사무소,관공서,강원도,평창군,미탄면 창리 617,미탄면 청옥산1길,37.3421501,128.4959082
KT,미탄보건지소,서민/복지시설,강원도,평창군,미탄면 창리 710-1,미탄면 미탄문화길 37,37.34089029,128.4997389
KT,방림면사무소,관공서,강원도,평창군,방림면 방림리 1268,방림면 서동로 1337,37.4264059,128.3940811
KT,방림보건지소,서민/복지시설,강원도,평창군,방림면 방림리 1288-1,방림면 서동로 1328,37.42623146,128.3928088
KT,봉평면사무소,관공서,강원도,평창군,대화면 창동리 345,대화면 기풍4길 10,37.50094658,128.4580508
KT,봉평보건지소,서민/복지시설,강원도,평창군,봉평면 창동리 366-3,봉평면 기풍8길 46,37.61700766,128.3794713
KT,봉평전통시장,서민/복지시설,강원도,평창군,봉평면 창동리 397-11,봉평면 기풍3길 31,37.61557627,128.3776826
KT,상하수도사업소 민원실,관공서,강원도,평창군,평창읍 후평리 693,평창읍 군청길 77,37.37980323,128.3873297
KT,용평면사무소,관공서,강원도,평창군,용평면 용전리 135-6,용평면 경강로 2027,37.60664496,128.4402675
KT,용평면사무소 정보센터,관공서,강원도,평창군,용평면 장평리 380-0,갈정지길 8 ,37.58982,128.416613
KT,용평보건지소,서민/복지시설,강원도,평창군,장평면 장평리 330,장평면 갈정지길 10,37.5898359,128.4163727
KT,장평시외버스터미널,교통시설,강원도,평창군,용평면 장평리 345,용평면 금송길 6,37.5860764,128.4142447
KT,종합문화예술회관,지역문화시설,강원도,평창군,평창읍 종부리 596-4,평창읍 문화예술길 51,37.36187716,128.3907605
KT,진부면사무소,관공서,강원도,평창군,진부면 하진부리 120,진부면 석두산2길 13,37.63612,128.5578596
KT,진부보건지소,서민/복지시설,강원도,평창군,진부면 하진부리 166-11,진부면 석두로 12-6,37.63560206,128.5539889
KT,진부시외버스터미널,교통시설,강원도,평창군,진부면 하진부리 119-1,진부면 청송로 110,37.63632844,128.5584765
KT,진부전통시장,서민/복지시설,강원도,평창군,진부면 하진부리 138-1,진부면 진부중앙로 61,37.63703856,128.5581878
KT,평창 실내체육관,지역문화시설,강원도,평창군,평창읍 종부리 596-3,평창읍 종부로 69-27,37.36016941,128.391334
KT,평창 종합운동장,지역문화시설,강원도,평창군,평창읍 종부리 596-3,평창읍 종부로 69-27,37.36016941,128.391334
KT,평창(상)휴게소,관광/편의시설,강원도,평창군,용평면 이목정리 472-2,용평면 탑거리길 63,37.61043564,128.463434
KT,평창(하)휴게소,서민/복지시설,강원도,평창군,용평면 이목정리 778-2,용평면 경강로 2159-58,37.60543416,128.4529044
KT,평창군 문화복지센터,서민/복지시설,강원도,평창군,평창읍 하리 113-1,평창읍 평창중앙로 67,37.368781,128.3949368
KT,평창군 청소년문화의집,서민/복지시설,강원도,평창군,평창읍 하리 113-1,진부면 석두산2길 7,37.36876,128.394881
KT,평창군보건의료원,서민/복지시설,강원도,평창군,평창읍 종부리 504,평창읍 종부로 61,37.360515,128.389025
KT,평창군보건의료원,서민/복지시설,강원도,평창군,평창읍 종부리 504,평창읍 종부로 61,37.36070137,128.3890006
KT,평창군장애인복지회관,서민/복지시설,강원도,평창군,평창읍 중리 354-1,평창읍 노성로 129,37.36899745,128.3978637
KT,평창군청,관공서,강원도,평창군,평창읍 하리 210-2,평창읍 군청길 77,37.37066764,128.39039
KT,평창군청 민원실,관공서,강원도,평창군,평창읍 하리 210-2,평창읍 군청길77,37.3707604,128.3904012
KT,평창군축산협동조합,기타,강원도,평창군,평창읍 하리 275,평창읍 백오로 9,37.36820231,128.3904167
KT,평창시외버스터미널,교통시설,강원도,평창군,평창읍 하리 58-5,평창읍 백오1길 3,37.36640775,128.3931604
KT,평창올림픽시장,서민/복지시설,강원도,평창군,평창읍 하리 55-7,평창읍 평창시장1길 8-1,37.3667928,128.3946129
KT,평창읍사무소,관공서,강원도,평창군,평창읍 중리 335-1,평창읍 노성로 127,37.368886,128.397186
KT,횡계시외버스터미널,교통시설,강원도,평창군,대관령면 횡계리 369-20,대관령면 대관령로 78,37.6731135,128.704856
KT,명동보육원,서민/복지시설,강원도,홍천군,홍천읍 희망리 182-1,홍천읍 석화로 85-8,37.696715,127.888121
KT,청량리 보건진료소,서민/복지시설,강원도,홍천군,서석면 청량리 1316-1,서석면 청량로 19,37.6883813,128.1909754
KT,해뜨는집,서민/복지시설,강원도,홍천군,내촌면 답풍리 584-3,내촌면 용포길 94-5,37.8209324,128.0578378
KT,홍천군 장애인근로작업장,서민/복지시설,강원도,홍천군,홍천읍 진리 20-10,홍천읍 너브내길 127,37.6921532,127.8920962
KT,홍천군청,관공서,강원도,홍천군,홍천읍 희망리 181,홍천읍 석화로 93,37.6967656,127.8888063
KT,화천군청,관공서,강원도,화천군,화천읍 아리 239,화천읍 화천새싹길 45,38.106027,127.70812
KT,화천우체국,관공서,강원도,화천군,화천읍 하리 17-4,화천읍 중앙로 29,38.103794,127.707356
